text,label
hey i i smell something burning from the kitchen,risk
my back hurts from sitting all day yaar,ordinary
arre i'll transfer 500 rupees to sarah by day after tomorrow,task
arre that meme meme was hilarious,ordinary
what time does the school open on next week,question
listen someone needs to sort this out,ordinary
actually we're postponing the flight flight to next week,decision
by the way what was the address ankit sent,question
the delivery guy's fever isn't coming down since friday,risk
what documents do they need at the market,question
listen i need to pick up the medicine before 4 pm,task
um the strike is over buses are back from this evening,info
our slot at the bank got moved to early morning,info
arre i'll follow up with ankit about about the interview,task
i need to return the library books before noon,task
okay then monday 1030 is locked for the meeting you know,decision
priya's fever isn't coming down since this weekend,risk
actually i'll transfer a lot to sarah by monday,task
by the way they announced a holiday on saturday,info
arre i'm worried dr mehta sounded really unwell on the call,risk
you take care of the keys and i'll handle the rest actually,task
um the extension board is overheating unplug it,risk
what did the the doctor say about the reports,question
sarah texted that the appointment is happening at at the market,info
instead of buying let's just rent the assignment,decision
that actor actor is so good in that show,ordinary
um what documents do they need at the restaurant,question
let's move the party to tuesday,decision
hey i'll transfer more than expected to my brother by friday,task
uh actually let's meet at 8 pm not 530,decision
can you look up the number number for the service center,question
you know kids these days i tell you,ordinary
okay okay so what's up,ordinary
that link sarah forwarded looks like a scam,risk
acha okay only,ordinary
uh ankit is getting discharged monday morning,info
how long does it take to reach the school,question
it's settled dad pays for the presentation this time,decision
they announced a holiday on saturday,info
can somebody check the status of of the form,question
arre note it down we must renew the insurance by tonight,task
moving the rent to this evening everyone okay with that done then,decision
what was the address my brother sent,question
you know watch out the door is unlocked,risk
let's drop the idea of the interview this month,decision
the electrician hasn't picked up the phone since noon,risk
the coffee here is decent,ordinary
you know final call we're skipping the wedding this time,decision
it's settled sarah pays for the charger this time,decision
the school is closed monday,info
hey our neighbour shifted to the new place last week,info
listen the inverter battery is swelling up don't touch it only,risk
uh did you see how crowded the metro station was,ordinary
did you notice the stove is still on,risk
let me set a reminder to fix the tap na,task
he's always late anyway,ordinary
i'll pick up the documents from from the gym on my way back,task
okay so did you see how crowded the the office was,ordinary
by the way news says the restaurant metro line opens this this weekend,info
uh first thing tomorrow morning i'll pick up the medicine,task
the form finally got delivered to the school,info
sarah said the train is running late,info
which bus goes to the bank,question
okay so long time no see,ordinary
insurance claim got approved for more than expected yaar,info
priya's fever isn't coming down since tuesday you know,risk
we'll do the meeting first and renew the insurance after,decision
insurance claim got approved for a lot you know,info
arre did anyone ask priya about the assignment,question
you know what was the address sarah sent you know,question
yeah i know know right,ordinary
instead of buying let's just rent the medicine,decision
hey i miss home food,ordinary
what a boring day yaar,ordinary
the internet banking otp came without me doing anything na,risk
the inverter battery is swelling up up don't touch it right,risk
you know i have to drop the presentation at the school monday,task
you know i miss home food,ordinary
um got the confirmation the medicine ships tonight,info
the teacher shifted shifted to the new place last week,info
i'll pick up the documents from the office on my way back only,task
arre i'll get it done and update you by 7 in the evening,task
hey yeah only,ordinary
hey careful the wire is sparking,risk
actually the geyser was on the whole night that's risky you know,risk
i said i'd help the delivery guy with the medicine tonight,task
you know i'm supposed to send the laptop to our neighbour today,task
okay so somebody left the gate open all night actually,risk
listen listen the bike's tyre looks completely worn out,risk
hey just heard that the prices went up again,info
can somebody check the status of the charger yaar,question
i'll transfer a lot to aunt seema by tuesday,task
you know let's book the airport before the prices go up,decision
hey watch out the wire is is sparking,risk
um should we take a cab or the metro to the school,question
um oh oh nice,ordinary
okay then next week 4 pm is locked for the class,decision
dr mehta hasn't picked up the phone phone since 1030,risk
um could you find out the fees for the class,question
arre we'll attend attend to it later i guess,task
hey the tap is leaking badly someone should check,risk
let's drop the idea of the appointment this month,decision
hmm yeah makes makes sense,ordinary
hey the extension board is overheating unplug it,risk
the ceiling fan is is wobbling badly get it checked,risk
how much did we pay for the presentation last time,question
i need to call the plumber before 9 am,task
i'll call dr mehta tonight about the laptop,task
insurance claim got approved for half of it,info
uh our slot at the service center got moved to 9 am,info
okay so hmm yeah makes sense yaar,ordinary
actually i have to drop the form at the market tuesday,task
by the way there's water leaking near the switchboard,risk
can someone find out if the airport is open tonight,question
i'm supposed to send the documents to aunt seema today,task
let's go ahead with dad's suggestion actually,decision
let's do the wedding at 4 pm instead,decision
so careful the stove is still on,risk
you know we decided to cancel the checkup,decision
scrap the old plan we start fresh from sunday actually,decision
okay so careful careful the tap is leaking badly,risk
i will share the details with dr mehta after the party,task
uh moving the medicine to tomorrow everyone okay with that done then,decision
by the way the new phone looks nice though yaar,ordinary
arre the dog did the funniest thing today,ordinary
is the offer on the keys still valid,question
the new timings for the gym are noon to lunchtime,info
we agreed to keep the appointment at the market itself,decision
um that was a great match actually,ordinary
first thing day after tomorrow morning i'll collect the laundry,task
no way really actually,ordinary
okay so first thing this weekend morning i'll send the email na,task
we'll do the meeting first and collect the laundry after,decision
uh rahul reached safely an hour ago,info
so i think the floor is wet you know,risk
pending item is to recharge the phone don't let me forget you know,task
i'm worried my boss sounded really unwell on the call na,risk
actually there's a crack on the wall near the market getting bigger,risk
dr mehta texted that the review is happening at the gym actually,info
do you know what time the school closes only,question
hey who should i contact about the laptop,question
you take care of the keys and i'll handle the rest,task
so just scrolling reels,ordinary
listen kids were playing near the main road again right,risk
which bus goes to the school,question
hey no way really right,ordinary
okay so we'll get around to it i suppose,ordinary
by the way the ceiling fan is wobbling badly get it checked,risk
we should hang out sometime na,ordinary
hmm yeah yeah makes sense,ordinary
you know yeah,ordinary
is the grocery store open on tomorrow or not na,question
they announced a holiday on thursday only,info
i have to drop the form at the restaurant tonight,task
the deadline for the documents moved to this weekend,info
how long does it take to reach the bank,question
you know the medicine expired last month don't take it,risk
listen it's settled mom pays for the tickets this time,decision
uh let's drop the idea of the flight this month,decision
make sure the documents reaches dr mehta by 1030,task
the prices went up again sunday,info
we'll deal with it eventually actually,task
let me finish the charger tonight and send it over right,task
ankit is getting discharged tonight morning,info
okay so scrap the old plan we start fresh from monday right,decision
listen that link aunt seema forwarded looks like a scam,risk
by the way he's always late anyway right,ordinary
okay so we'll take the morning train instead of the flight,decision
listen let's cut the budget for the invoice by 1200,decision
she sings really well yaar,ordinary
arre they announced a holiday on tomorrow,info
let's book the gym before the prices go up you know,decision
by the way the internet banking otp came without me doing anything,risk
so let's cancel the cab and take the train only,decision
okay so aunt seema confirmed the class is at early morning,info
so street dogs near the office looked aggressive today,risk
let's cut the budget for the invoice by 1200,decision
by the way the plumber said the milk has gone bad please look at it,risk
by the way do you know what time the bank closes,question
actually let's meet at 1030 not lunchtime,decision
what time does the clinic open on on tuesday,question
does anyone know where i kept the tickets right,question
part of me thinks this won't work,decision
can you return the library books when you get time,task
is it possible to change the date of the interview,question
uh uh the food was really good,ordinary
so did you notice the tap is leaking badly,risk
you know we decided to cancel the interview,decision
i smell something burning from the kitchen na,risk
can someone find out if the school is open day after tomorrow,question
okay so i'll follow up with ankit about the checkup,task
sarah said the gas smells weird please look at it na,risk
uh so tired today man,ordinary
whom do we call if the grocery store is shut,question
you know no no way really,ordinary
hey fine let's not invite the teacher then,decision
so the food was really good only,ordinary
actually let's book the service center before the prices go up,decision
um how are you doing,ordinary
i will share the details with mom after the party,task
let's book the grocery store before the prices go up na,decision
i have to drop the presentation at the office next week actually,task
my brother reached safely an hour ago,info
that link our neighbour forwarded looks like a scam,risk
